task_id	phase	embedding_root	model	variant	feature	classifier	reducer	components	search_stage	seed	output	train_target	evaluation_target
24	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
25	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
26	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
27	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
28	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
29	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
30	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
31	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	body_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_body_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
32	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
33	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
34	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
35	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
36	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
37	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
38	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
39	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	full_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_full_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
40	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
41	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
42	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
43	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
44	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
45	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
46	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
47	o2o_core	data/processed/pooled_embeddings_v3	roberta	masked_short	title_body_full_concat	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/roberta_masked_short_title_body_full_concat_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
48	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
49	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
50	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
51	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
52	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
53	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
54	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
55	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	body_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_body_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
56	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
57	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
58	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
59	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
60	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
61	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
62	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
63	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	full_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_full_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
64	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
65	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
66	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
67	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
68	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
69	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
70	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
71	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	short	title_body_full_concat	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_short_title_body_full_concat_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
72	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
73	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
74	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
75	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
76	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
77	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
78	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
79	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	body_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_body_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
80	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
81	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
82	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
83	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
84	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
85	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
86	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
87	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	full_mean	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_full_mean_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
88	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_logistic_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
89	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	logistic	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_logistic_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
90	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	mlp	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_mlp_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
91	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	mlp	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_mlp_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
92	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	hist_gradient_boosting	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_hist_gradient_boosting_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
93	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	hist_gradient_boosting	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_hist_gradient_boosting_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
94	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	extra_trees	none	0	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_extra_trees_none_0_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
95	o2o_core	data/processed/pooled_embeddings_v3	bge_m3	masked_short	title_body_full_concat	extra_trees	pca	128	coarse	42	reports/classification/pooled_embeddings/o2o_core/bge_m3_masked_short_title_body_full_concat_extra_trees_pca_128_seed42.json	next_day_open_to_open_return	next_day_open_to_open_return
