task_id	phase	embedding_model	input_name	matrix	metadata	classifier	reducer	components	seed	output	train_target	evaluation_target
14	label_comparison	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_5_masked_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
15	label_comparison	bge_m3	text_input_5_masked_short	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_5_masked_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
16	label_comparison	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_6_masked_long_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
17	label_comparison	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_6_masked_long_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
18	label_comparison	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_6_masked_long_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
19	label_comparison	bge_m3	text_input_6_masked_long	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/bge_m3.npy	data/processed/embeddings/all_inputs/bge_m3/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/bge_m3_text_input_6_masked_long_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
20	label_comparison	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_plain_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
21	label_comparison	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_plain_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
22	label_comparison	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_plain_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
23	label_comparison	chinese_roberta	text_plain	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_plain/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_plain_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
24	label_comparison	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_2_short_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
25	label_comparison	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_2_short_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
26	label_comparison	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_2_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
27	label_comparison	chinese_roberta	text_input_2_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_2_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_2_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
28	label_comparison	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_3_long_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
29	label_comparison	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_3_long_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
30	label_comparison	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_3_long_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
31	label_comparison	chinese_roberta	text_input_3_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_3_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_3_long_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
32	label_comparison	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_5_masked_short_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
33	label_comparison	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_5_masked_short_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
34	label_comparison	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_5_masked_short_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
35	label_comparison	chinese_roberta	text_input_5_masked_short	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_5_masked_short/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_5_masked_short_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
36	label_comparison	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_6_masked_long_logistic_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
37	label_comparison	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_6_masked_long_simple_mlp_none_event3_to_next1_seed42.json	event_return_3d	next_day_return
38	label_comparison	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	logistic	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_6_masked_long_logistic_none_next1_to_next1_seed42.json	next_day_return	next_day_return
39	label_comparison	chinese_roberta	text_input_6_masked_long	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/chinese_roberta.npy	data/processed/embeddings/all_inputs/chinese_roberta/text_input_6_masked_long/metadata.parquet	simple_mlp	none	0	42	reports/classification/precomputed_embeddings/label_comparison/chinese_roberta_text_input_6_masked_long_simple_mlp_none_next1_to_next1_seed42.json	next_day_return	next_day_return
