task_id	embedding_root	model	variant	feature	classifier	reducer	components	output	train_target	evaluation_target
72	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_title_mean_logistic_none_0.json	event_return_3d	next_day_return
73	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
74	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_body_mean_logistic_none_0.json	event_return_3d	next_day_return
75	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
76	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_full_mean_logistic_none_0.json	event_return_3d	next_day_return
77	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	ckip_bert	masked_long	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/ckip_bert_masked_long_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
78	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	plain	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_plain_full_mean_logistic_none_0.json	event_return_3d	next_day_return
79	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	plain	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_plain_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
80	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
81	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
82	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	body_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_body_mean_logistic_none_0.json	event_return_3d	next_day_return
83	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	body_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_body_mean_logistic_pca_128.json	event_return_3d	next_day_return
84	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	full_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_full_mean_logistic_none_0.json	event_return_3d	next_day_return
85	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	short	full_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_short_full_mean_logistic_pca_128.json	event_return_3d	next_day_return
86	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_short	title_mean	logistic	none	0	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_masked_short_title_mean_logistic_none_0.json	event_return_3d	next_day_return
87	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/embeddings	xlm_roberta_large	masked_short	title_mean	logistic	pca	128	/data/alpha_team2/shares/llm_return/datasets/news_content_quality_20260812/cninfo_method_v1/classification/xlm_roberta_large_masked_short_title_mean_logistic_pca_128.json	event_return_3d	next_day_return
